indicator,date,rate,symbol
open,2022-01-04 15:54:00,2897.07,GOOGL
high,2022-01-04 15:54:00,2897.895,GOOGL
low,2022-01-04 15:54:00,2897.07,GOOGL
close,2022-01-04 15:54:00,2897.67,GOOGL
open,2022-01-04 15:53:00,2897.92,GOOGL
high,2022-01-04 15:53:00,2897.92,GOOGL
low,2022-01-04 15:53:00,2895.8873,GOOGL
close,2022-01-04 15:53:00,2896.52,GOOGL
open,2022-01-04 15:52:00,2900.92,GOOGL
high,2022-01-04 15:52:00,2901.07,GOOGL
low,2022-01-04 15:52:00,2899.7,GOOGL
close,2022-01-04 15:52:00,2899.7,GOOGL
open,2022-01-04 15:51:00,2899.84,GOOGL
high,2022-01-04 15:51:00,2902.81,GOOGL
low,2022-01-04 15:51:00,2899.29,GOOGL
close,2022-01-04 15:51:00,2901.405,GOOGL
open,2022-01-04 15:50:00,2898.29,GOOGL
high,2022-01-04 15:50:00,2899.425,GOOGL
low,2022-01-04 15:50:00,2898.29,GOOGL
close,2022-01-04 15:50:00,2899.41,GOOGL
open,2022-01-04 15:49:00,2898.13,GOOGL
high,2022-01-04 15:49:00,2898.16,GOOGL
low,2022-01-04 15:49:00,2897.46,GOOGL
close,2022-01-04 15:49:00,2897.47,GOOGL
open,2022-01-04 15:48:00,2896.01,GOOGL
high,2022-01-04 15:48:00,2897.14,GOOGL
low,2022-01-04 15:48:00,2895.67,GOOGL
close,2022-01-04 15:48:00,2896.21,GOOGL
open,2022-01-04 15:47:00,2896.76,GOOGL
high,2022-01-04 15:47:00,2896.76,GOOGL
low,2022-01-04 15:47:00,2895.42,GOOGL
close,2022-01-04 15:47:00,2896.4,GOOGL
open,2022-01-04 15:46:00,2898.03,GOOGL
high,2022-01-04 15:46:00,2898.57,GOOGL
low,2022-01-04 15:46:00,2897.875,GOOGL
close,2022-01-04 15:46:00,2897.875,GOOGL
open,2022-01-04 15:45:00,2897.7112,GOOGL
high,2022-01-04 15:45:00,2898.506,GOOGL
low,2022-01-04 15:45:00,2897.7112,GOOGL
close,2022-01-04 15:45:00,2897.83,GOOGL
open,2022-01-04 15:44:00,2898.08,GOOGL
high,2022-01-04 15:44:00,2898.89,GOOGL
low,2022-01-04 15:44:00,2897.58,GOOGL
close,2022-01-04 15:44:00,2898.13,GOOGL
open,2022-01-04 15:43:00,2896.21,GOOGL
